,elem,model,a,cohesive-energy,c11,c12,bulk,shear,volume,bulk*volume,shear*volume,formation-energy,migration-energy,relaxation-volume,edt11,spedt11,spedt33,spdst11,spdst33,ln_a,ln_cohesive-energy,ln_c11,ln_c12,ln_bulk,ln_shear,ln_volume,ln_bulk*volume,ln_shear*volume,ln_formation-energy,ln_migration-energy,ln_relaxation-volume,ln_edt11,ln_spedt11,ln_spedt33,ln_spdst11,ln_spdst33,ln_neg_spdst33,a-1
22,Al,EAM_Dynamo_Zope_Mishin_Al__MO_664470114311_001,4.04999993669,3.3600000229,0.72909339901,0.375214894048,0.493174395702,0.176939252481,66.4301218847,32.7616352169,11.7540961085,0.708114326604,0.644286357433,6.84478994581,3.375675143,2.89337822674,-1.67406958203,5.22885422699,-7.67797041687,1.39871686549,1.21194098079,-0.315953435825,-0.980256366348,-0.706892423675,-1.73194881164,4.19615059646,3.48925817278,2.46420178482,-0.34514972007,-0.439611997308,1.92348777102,1.21659534669,1.06242475604,-100.0,1.65419217702,-100.0,2.0383552436,0.246913584107
23,Al,EAM_Dynamo_Zope_Mishin_TiAl__MO_117656786760_001,4.04999945569,3.36000002859,0.729097949155,0.375238812769,0.493191858231,0.176929568193,66.4300982159,32.7627835815,11.7534485924,0.70811394614,0.644286241311,6.84406401314,3.37543633906,2.89297055606,-1.6744893228,5.22878949093,-7.67877502493,1.39871674672,1.21194098248,-0.315947195018,-0.980192621654,-0.706857015876,-1.73200354541,4.19615024016,3.48929322429,2.46414669475,-0.345150257363,-0.439612177542,1.92338170916,1.21652460162,1.06228384829,-100.0,1.6541797964,-100.0,2.03846003248,0.246913613431
24,Au,EAM_Dynamo_Ackland_Tichy_Au__MO_104891429740_001,4.0780001097,3.78904529321,1.16431874584,0.980612830823,1.04184813583,0.0918529575079,67.817488025,70.6555234754,6.22923684585,0.960615550426,0.90187998199,4.22109943752,4.39774481909,0.548688107487,-6.03659975417,11.4222021689,-24.4246574908,1.40560669905,1.33211408584,0.152136148454,-0.0195775651849,0.0409961897427,-2.38756626852,4.21682009716,4.2578162869,1.82925382864,-0.0401810016393,-0.103273825433,1.44009562433,1.48109186841,-0.600225109132,-100.0,2.43555902004,-100.0,3.19559317494,0.245218237641
26,Co,EAM_Dynamo_PurjaPun_Mishin_Co__MO_885079680379_001,3.56422199671,4.38487850807,1.72124968126,0.992166766795,1.23519440495,0.364541457234,45.2787301415,55.9280341341,16.5059742675,1.56050432152,0.953152962999,3.63058482757,4.48447910355,3.77952795523,-4.52567315014,4.06996627456,-7.32133511999,1.27094579631,1.47816191918,0.543050585884,-0.00786407413784,0.211228370608,-1.00911499673,3.81283738892,4.02406575953,2.80372239219,0.445009052044,-0.047979881388,1.28939374482,1.50062234686,1.32959912227,-100.0,1.40363471307,-100.0,1.99079270478,0.280566137834
27,Co,EAM_Dynamo_Vailhe_Farkas_CoAl__MO_284963179498_001,3.54226684102,4.38311604891,1.4868510568,1.03405907235,1.18498973384,0.226395992224,44.447140018,52.6694046197,10.0626543659,1.44446821891,1.16950907103,0.681279405669,0.807309168463,2.70659848331,-4.60872221122,5.46077432125,-10.6952564394,1.26476687278,1.47775989814,0.396660498911,0.0334919043894,0.16973411112,-1.485469635,3.79430061834,3.96403472946,2.30883098334,0.367741239234,0.15658406334,-0.383782769652,-0.214048575699,0.995692674294,-100.0,1.69759059678,-100.0,2.36980031975,0.282305101473
28,Co,EAM_Dynamo_Zhou_Johnson_Co__MO_924630542818_001,3.54909817846,4.40234003467,1.32959628452,0.956325122976,1.08074884349,0.186635580771,44.7047880428,48.3146479757,8.3435040796,1.82514984431,0.783884939436,0.850633040017,0.919320105983,11.9945046933,-4.92224924657,17.0670012496,-28.253279417,1.26669353698,1.48213622562,0.284875350678,-0.0446573369527,0.0776541744649,-1.67859732937,3.80008061094,3.8777347854,2.12148328156,0.601662090138,-0.243493030326,-0.161774453727,-0.0841208973811,2.48444860267,-100.0,2.83714684766,-100.0,3.34120953641,0.281761717968
29,Cu,EAM_Dynamo_Ackland_Tichy_Cu__MO_179025990738_001,3.61500009724,3.5193530264,1.05438711717,0.757871763341,0.856710214619,0.148257676917,47.2416371873,40.4723931336,7.00393538312,1.18817394797,0.975530924488,2.5918602207,2.22047303099,1.78411359341,-4.59282859553,7.03587948195,-14.4704123401,1.28509188251,1.2582771734,0.0529596665332,-0.277241085303,-0.154655556868,-1.90880345886,3.85527564753,3.70062009066,1.94647218867,0.172417631071,-0.0247734182544,0.952375849836,0.797720250209,0.578921705566,-100.0,1.95102269796,-100.0,2.67210603644,0.27662516545
30,Cu,EAM_Dynamo_Bonny_Pasianot_FeCuNi__MO_469343973171_001,3.61492507696,3.54021833022,1.06027297463,0.765101946905,0.863492289478,0.14758551386,47.2386961024,40.7902498495,6.97174723837,1.27228361188,0.688862808529,3.53014061875,3.04824925037,3.73377062264,-1.66630021469,6.84472082801,-11.4499917591,1.2850711298,1.26418840045,0.0585263982018,-0.267746190107,-0.146770310818,-1.91334751621,3.85521338939,3.70844307857,1.94186587318,0.240813405383,-0.372713144589,1.26133770549,1.11456740954,1.31741861384,-100.0,1.9234776731,-100.0,2.43798901027,0.276630906232
31,Cu,EAM_Dynamo_Cai_Ye_AlCu__MO_942551040047_001,3.61472814006,3.52456766552,1.05064754452,0.792582267285,0.878604026365,0.129032638619,47.2309759959,41.4973256792,6.09433745733,1.27426192295,0.651050370747,2.51019419405,2.20546737678,2.50052209851,-2.48687951623,6.75998363375,-12.5661081198,1.28501664948,1.25975778066,0.0494066831533,-0.232458971318,-0.129420964746,-2.04768989407,3.85504994844,3.72562898369,1.80736005437,0.242367127034,-0.429168265347,0.920360118299,0.790939448697,0.916499549473,-100.0,1.91102046901,-100.0,2.5310033581,0.276645977582
32,Cu,EAM_Dynamo_Hoyt_Garvin_PbCu__MO_119135752160_001,3.61503431848,3.5400530514,1.0565415958,0.778678651233,0.871299632755,0.138931472284,47.2429788326,41.1627901071,6.5635366043,1.28400307269,0.673206515755,3.11844322606,2.71709864167,3.53829044032,-1.57231279051,6.83276888894,-11.5597592993,1.28510134892,1.26414171331,0.05500092862,-0.250156832683,-0.137769351235,-1.97377447257,3.85530404676,3.71753469553,1.88152957419,0.249982598325,-0.395703137931,1.13733391129,0.999564635149,1.26364368404,-100.0,1.92172999245,-100.0,2.44753004117,0.276622546815
